Country1,Country2
Albania,Montenegro
Albania,Greece
Albania,North Macedonia
Albania,Kosovo
Andorra,France
Andorra,Spain
Austria,Czechia
Austria,Germany
Austria,Hungary
Austria,Italy
Austria,Liechtenstein
Austria,Slovakia
Austria,Slovenia
Austria,Switzerland
Belgium,France
Belgium,Germany
Belgium,Luxembourg
Belgium,Netherlands
Bulgaria,Greece
Bulgaria,North Macedonia
Bulgaria,Romania
Bulgaria,Serbia
Bosnia and Herzegovina,Croatia
Bosnia and Herzegovina,Montenegro
Bosnia and Herzegovina,Serbia
Belarus,Latvia
Belarus,Lithuania
Belarus,Poland
Belarus,Russia
Belarus,Ukraine
Switzerland,Austria
Switzerland,France
Switzerland,Italy
Switzerland,Liechtenstein
Switzerland,Germany
Czechia,Austria
Czechia,Germany
Czechia,Poland
Czechia,Slovakia
Germany,Austria
Germany,Belgium
Germany,Czechia
Germany,Denmark
Germany,France
Germany,Luxembourg
Germany,Netherlands
Germany,Poland
Germany,Switzerland
Denmark,Germany
Spain,Andorra
Spain,France
Spain,Gibraltar
Spain,Portugal
Estonia,Latvia
Estonia,Russia
Finland,Norway
Finland,Sweden
Finland,Russia
France,Andorra
France,Belgium
France,Germany
France,Italy
France,Luxembourg
France,Monaco
France,Spain
France,Switzerland
United Kingdom,Ireland
Gibraltar,Spain
Greece,Albania
Greece,Bulgaria
Greece,North Macedonia
Croatia,Bosnia and Herzegovina
Croatia,Hungary
Croatia,Montenegro
Croatia,Serbia
Croatia,Slovenia
Hungary,Austria
Hungary,Croatia
Hungary,Romania
Hungary,Serbia
Hungary,Slovakia
Hungary,Slovenia
Hungary,Ukraine
Ireland,United Kingdom
Italy,Austria
Italy,France
Italy,San Marino
Italy,Slovenia
Italy,Switzerland
Italy,Vatican City
Kosovo,Albania
Kosovo,North Macedonia
Kosovo,Montenegro
Kosovo,Serbia
Liechtenstein,Austria
Liechtenstein,Switzerland
Lithuania,Belarus
Lithuania,Latvia
Lithuania,Poland
Lithuania,Russia
Luxembourg,Belgium
Luxembourg,France
Luxembourg,Germany
Latvia,Belarus
Latvia,Estonia
Latvia,Lithuania
Latvia,Russia
Monaco,France
Moldova,Romania
Moldova,Ukraine
North Macedonia,Albania
North Macedonia,Bulgaria
North Macedonia,Greece
North Macedonia,Kosovo
North Macedonia,Serbia
Montenegro,Albania
Montenegro,Bosnia and Herzegovina
Montenegro,Croatia
Montenegro,Kosovo
Montenegro,Serbia
Netherlands,Belgium
Netherlands,Germany
Norway,Finland
Norway,Sweden
Norway,Russia
Poland,Belarus
Poland,Czechia
Poland,Germany
Poland,Lithuania
Poland,Russia
Poland,Slovakia
Poland,Ukraine
Portugal,Spain
Romania,Bulgaria
Romania,Hungary
Romania,Moldova
Romania,Serbia
Romania,Ukraine
Russia,Belarus
Russia,Estonia
Russia,Finland
Russia,Latvia
Russia,Lithuania
Russia,Norway
Russia,Poland
Russia,Ukraine
San Marino,Italy
Serbia,Bosnia and Herzegovina
Serbia,Bulgaria
Serbia,Croatia
Serbia,Hungary
Serbia,Kosovo
Serbia,North Macedonia
Serbia,Montenegro
Serbia,Romania
Slovakia,Austria
Slovakia,Czechia
Slovakia,Hungary
Slovakia,Poland
Slovakia,Ukraine
Slovenia,Austria
Slovenia,Croatia
Slovenia,Italy
Slovenia,Hungary
Sweden,Finland
Sweden,Norway
Ukraine,Belarus
Ukraine,Hungary
Ukraine,Moldova
Ukraine,Poland
Ukraine,Romania
Ukraine,Russia
Ukraine,Slovakia
Vatican City,Italy
